,Accuracy,Precision,Recall,F1-Score,Cohen Kappa,Log Loss,CV Mean,CV Std
Random Forest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9952380952380953,0.05198538770070006,0.9959090909090909,0.001700753357624503
XGBoost,0.9886363636363636,0.9893742621015349,0.9886363636363636,0.9884930494686593,0.9880952380952381,0.038762146395855276,0.990909090909091,0.0032141217326661377
CatBoost,0.9931818181818182,0.9935064935064934,0.9931818181818182,0.9931775541531639,0.9928571428571429,0.033781559610691785,0.9931818181818182,0.0032141217326661065
SVM,0.9886363636363636,0.9893742621015349,0.9886363636363636,0.9886207074910541,0.9880952380952381,0.13465807862281234,0.9877272727272729,0.0044536177141512485
Ensemble,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9952380952380953,0.05866638539498506,0.9945454545454545,0.0018181818181818132
